observation_id,quality_grade,captive,taxon_name,taxon_rank,taxon_id,observations_count,conservation_status,threatened,endemic,introduced,iconic_taxa,taxon_common_name,created_at,observed_on,time_observed_at,uri,user_login,user_name,user_created_at,user_site_id,user_observations_count,longitude,latitude,geoprivacy,country_name,state_name
295093127,needs_id,FALSE,Mantodea,order,48112,544965,NA,FALSE,FALSE,FALSE,Insecta,Mantises,2025-07-04T09:56:09-03:00,2025-06-27,2025-06-27T16:02:01-03:00,https://www.inaturalist.org/observations/295093127,bubblegumteary,Fiorella Revello,2022-07-10T16:10:22+00:00,NA,287,-54.6495231986,-34.3348550774,NA,Uruguay,Maldonado
288980510,needs_id,FALSE,Orthoderella,genus,465282,274,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-06-12T09:19:30-03:00,2025-06-11,2025-06-11T12:44:07-03:00,https://www.inaturalist.org/observations/288980510,vicente_cent,Vicente,2025-02-25T21:32:26+00:00,NaturalistaUY,116,-55.2179728076,-34.8319534335,NA,Uruguay,Maldonado
288094142,needs_id,FALSE,Orthoderella,genus,465282,274,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-06-08T23:57:41-03:00,2025-03-18,2025-03-18T00:01:00-03:00,https://www.inaturalist.org/observations/288094142,mattzarrr,Matías Zarucki,2020-02-20T16:47:10+00:00,NaturalistaUY,2689,-55.2175456978,-34.8322300388,NA,Uruguay,Maldonado
286257929,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-06-02T09:54:58-03:00,2025-06-01,2025-06-01T11:04:30-03:00,https://www.inaturalist.org/observations/286257929,bubblegumteary,Fiorella Revello,2022-07-10T16:10:22+00:00,NA,287,-55.9299239516,-34.7177308936,NA,Uruguay,Canelones
286123402,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-06-01T20:16:55-03:00,2019-01-01,2019-01-01T15:24:00-03:00,https://www.inaturalist.org/observations/286123402,glauberramos,Glauber Ramos,2025-04-04T10:19:29+00:00,NA,459,-53.5491787,-34.0461502,NA,Uruguay,Rocha
282311942,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-05-19T04:25:50-03:00,2025-05-18,2025-05-18T15:23:43-03:00,https://www.inaturalist.org/observations/282311942,icebearpaul04,Pablo Berrondo,2023-11-18T22:20:07+00:00,NaturalistaUY,605,-56.2132111111,-34.7395666667,NA,Uruguay,Canelones
280912198,research,FALSE,Musoniella argentina,species,750686,8,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-05-13T22:22:11-03:00,2025-05-12,2025-05-12T19:53:06-03:00,https://www.inaturalist.org/observations/280912198,msilvera,Mauricio Silvera,2019-04-25T02:21:56+00:00,NaturalistaUY,3746,-57.0410778333,-32.1803883333,NA,Uruguay,Paysandú
280567750,research,FALSE,Stagmatoptera hyaloptera,species,539097,1533,NA,FALSE,FALSE,FALSE,Insecta,Argentine White-crested Mantis,2025-05-12T13:59:36-03:00,2025-05-05,2025-05-05T13:47:00-03:00,https://www.inaturalist.org/observations/280567750,alesainz,NA,2025-05-12T16:38:53+00:00,NaturalistaUY,5,-58.0196705689,-33.2437854385,NA,Uruguay,Soriano
280548299,needs_id,FALSE,Orthoderella,genus,465282,274,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-05-12T12:35:25-03:00,2025-05-12,2025-05-12T12:30:00-03:00,https://www.inaturalist.org/observations/280548299,genarius,Gena,2024-04-25T17:04:10+00:00,NA,44,-55.2208327129,-34.8349283455,NA,Uruguay,Maldonado
279102693,needs_id,FALSE,Stagmatoptera,genus,244820,4905,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-05-06T21:15:39-03:00,2025-05-05,2025-05-05T14:15:00-03:00,https://www.inaturalist.org/observations/279102693,alvarez78,NA,2023-05-16T18:17:57+00:00,NaturalistaUY,1218,-58.0197004726,-33.2438016596,NA,Uruguay,Soriano
278577300,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-05-04T20:09:12-03:00,2025-05-04,2025-05-04T12:08:00-03:00,https://www.inaturalist.org/observations/278577300,magdalena_muttoni,Magdalena Muttoni,2025-03-15T22:43:35+00:00,NA,23,-56.1997191764,-34.8655012105,NA,Uruguay,Montevideo
277532140,research,FALSE,Brunneria subaptera,species,748850,144,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Stick Mantis,2025-05-01T19:38:55-03:00,2025-05-01,2025-05-01T16:39:37-03:00,https://www.inaturalist.org/observations/277532140,mikcuparo,NA,2021-12-29T23:40:35+00:00,NaturalistaUY,1054,-55.7161683217,-34.7479163998,NA,Uruguay,Canelones
276088939,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-28T18:27:09-03:00,2025-03-15,2025-03-15T10:12:48-03:00,https://www.inaturalist.org/observations/276088939,verdeurbanouy,Verde Urbano,2024-09-03T13:07:33+00:00,NaturalistaUY,57,-56.1994671822,-34.85933315,NA,Uruguay,Montevideo
274724115,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-04-27T12:00:38-03:00,2025-04-27,2025-04-27T11:42:51-03:00,https://www.inaturalist.org/observations/274724115,gonrome,Gonzalo Romero,2022-05-30T01:48:59+00:00,NaturalistaUY,1569,-56.8987236,-34.4595078,NA,Uruguay,San José
274130147,research,FALSE,Musoniella argentina,species,750686,8,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-26T17:47:16-03:00,2025-04-24,2025-04-24T10:04:12-03:00,https://www.inaturalist.org/observations/274130147,vicente_cent,Vicente,2025-02-25T21:32:26+00:00,NaturalistaUY,116,-55.2141858637,-34.8332749572,NA,Uruguay,Maldonado
271684518,needs_id,FALSE,Mantodea,order,48112,544965,NA,FALSE,FALSE,FALSE,Insecta,Mantises,2025-04-20T09:43:07-03:00,2025-04-20,2025-04-20T09:40:10-03:00,https://www.inaturalist.org/observations/271684518,mikcuparo,NA,2021-12-29T23:40:35+00:00,NaturalistaUY,1054,-55.7166755944,-34.7477436702,NA,Uruguay,Canelones
270920920,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-16T21:01:54-03:00,2025-04-16,2025-04-16T15:04:08-03:00,https://www.inaturalist.org/observations/270920920,gorko,Federico Díaz Bentancor,2018-06-20T15:11:52+00:00,NaturalistaUY,171,-56.4013003,-34.691746,NA,Uruguay,Canelones
270015137,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-12T14:53:01-03:00,2025-04-12,2025-04-12T14:49:02-03:00,https://www.inaturalist.org/observations/270015137,rodrigo_0,Rodrigo Remedios Bonilla,2024-06-28T17:07:13+00:00,NA,27,-56.2986793,-34.6788989,NA,Uruguay,Canelones
269878568,needs_id,FALSE,Parastagmatoptera,genus,622699,2159,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-11T21:26:53-03:00,2025-04-11,2025-04-11T20:49:53-03:00,https://www.inaturalist.org/observations/269878568,diegotin21,Diego M. Roldán,2023-05-03T19:15:51+00:00,NA,25,-56.1739972222,-34.8599166667,NA,Uruguay,Montevideo
269310967,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-08T13:55:18-03:00,2025-04-08,2025-04-08T13:34:15-03:00,https://www.inaturalist.org/observations/269310967,colito8,Giovana Antunez,2019-05-25T20:02:52+00:00,NaturalistaUY,194,-55.7139527778,-34.7648861111,NA,Uruguay,Canelones
268625222,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-04T19:20:06-03:00,2025-04-04,2025-04-04T16:06:26-03:00,https://www.inaturalist.org/observations/268625222,maiamaiia,maia,2023-11-18T22:30:11+00:00,NaturalistaUY,759,-56.1985377967,-34.8613004626,NA,Uruguay,Montevideo
268409124,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-04-03T14:10:46-03:00,2025-04-03,2025-04-03T14:07:22-03:00,https://www.inaturalist.org/observations/268409124,lugroposo,Lucía Groposo,2023-12-17T20:26:41+00:00,NA,197,-55.9607087797,-34.43807163,NA,Uruguay,Canelones
266607671,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-03-23T15:21:02-03:00,2025-03-23,2025-03-23T09:40:02-03:00,https://www.inaturalist.org/observations/266607671,arbustyn,Adrián,2020-11-27T05:05:33+00:00,iNaturalist,88,-54.9500452727,-34.897928006,NA,Uruguay,Maldonado
266596156,research,FALSE,Coptopteryx gayi,species,539098,1298,NA,FALSE,FALSE,FALSE,Insecta,Small-winged Gay's Mantis,2025-03-23T14:21:07-03:00,2025-03-21,2025-03-21T18:04:23-03:00,https://www.inaturalist.org/observations/266596156,alexstinson,Alex Stinson,2020-03-29T21:51:50+00:00,NaturalistaUY,63,-56.2076813389,-34.7815364242,obscured,Uruguay,Canelones
266583781,research,FALSE,Stagmatoptera hyaloptera,species,539097,1533,NA,FALSE,FALSE,FALSE,Insecta,Argentine White-crested Mantis,2025-03-23T13:10:45-03:00,2025-03-23,2025-03-23T13:09:16-03:00,https://www.inaturalist.org/observations/266583781,sgomez-barboza,Sebastián Gómez Barboza Silveira,2022-01-01T15:30:00+00:00,NaturalistaUY,1450,-57.6162766667,-30.229285,NA,Uruguay,Artigas
266571724,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-03-23T12:19:39-03:00,2025-03-23,2025-03-23T12:18:58-03:00,https://www.inaturalist.org/observations/266571724,cameronr,Roderick Cameron,2020-05-05T16:04:33+00:00,NaturalistaUY,2218,-56.04742346,-34.87721975,NA,Uruguay,Montevideo
266309516,needs_id,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-03-21T22:02:24-03:00,2025-03-21,2025-03-21T22:00:41-03:00,https://www.inaturalist.org/observations/266309516,jelissalde,Julia Elissalde,2023-09-28T17:52:56+00:00,NaturalistaUY,470,-56.1506033689,-34.9181904725,NA,Uruguay,Montevideo
266217062,research,FALSE,Parastagmatoptera theresopolitana,species,750322,103,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-03-21T08:01:10-03:00,2025-03-08,2025-03-08T15:19:25-03:00,https://www.inaturalist.org/observations/266217062,juan_rodal,Juan Rodriguez,2023-04-04T14:34:53+00:00,NaturalistaUY,236,-54.9392083333,-34.91573,NA,Uruguay,Maldonado
266164029,research,FALSE,Coptopteryx argentina,species,634616,778,NA,FALSE,FALSE,FALSE,Insecta,NA,2025-03-20T20:29:31-03:00,2025-02-22,2025-02-22T21:49:11-03:00,https://www.inaturalist.org/observations/266164029,raymuko,NA,2025-03-20T22:54:11+00:00,NaturalistaUY,13,-55.9919768997,-34.8320573997,NA,Uruguay,Canelones
